element	sp_num	obs_wl_vac(nm)	unc_obs_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref
C	1	"446.2752"	"0.0010"	"2800*"	""		"7.94627046"	"10.7244786"	"2s.2p3"	"3D*"	"2"	"2s2.2p.(2P*<3/2>).5f"	"2[3/2]"	"2"		""	"L17684"
C	1	"446.2752"	"0.0010"	"2800*"	""		"7.94627046"	"10.7244500"	"2s.2p3"	"3D*"	"2"	"2s2.2p.(2P*<3/2>).5f"	"2[3/2]"	"1"		""	"L17684"
C	1	"446.5139"	"0.0010"	"4300*"	""		"7.945771557"	"10.7224999"	"2s.2p3"	"3D*"	"3"	"2s2.2p.(2P*<3/2>).5f"	"2[5/2]"	"2"		""	"L17684"
C	1	"446.5139"	"0.0010"	"4300*"	""		"7.945771557"	"10.72248485"	"2s.2p3"	"3D*"	"3"	"2s2.2p.(2P*<3/2>).5f"	"2[5/2]"	"3"		""	"L17684"
C	1	"446.5701"	"0.0005"	"2800"	""		"7.94613476"	"10.7224999"	"2s.2p3"	"3D*"	"1"	"2s2.2p.(2P*<3/2>).5f"	"2[5/2]"	"2"		""	"L17684"
C	1	"446.5930"	"0.0010"	"4300*"	""		"7.94627046"	"10.7224999"	"2s.2p3"	"3D*"	"2"	"2s2.2p.(2P*<3/2>).5f"	"2[5/2]"	"2"		""	"L17684"
C	1	"446.5930"	"0.0010"	"4300*"	""		"7.94627046"	"10.72248485"	"2s.2p3"	"3D*"	"2"	"2s2.2p.(2P*<3/2>).5f"	"2[5/2]"	"3"		""	"L17684"
O	2	"446.6670"	"0.0010"	"17"	""		"30.425722+x"	"33.201492+x"	"2s.2p3.(5S*).3s"	"6S*"	"5/2"	"2s.2p3.(5S*).3p"	"6P"	"7/2"		""	"L10621"
O	2	"446.7494"	"0.0010"	"15"	"9.00e+07"	C+	"28.591928"	"31.367183"	"2s2.2p2.(1S).3s"	"2S"	"1/2"	"2s2.2p2.(1S).3p"	"2P*"	"3/2"		"T5723LS"	"L10621"
O	2	"446.7668"	"0.0010"	"7"	""		"28.941697"	"31.7168283"	"2s2.2p2.(3P).3d"	"2P"	"3/2"	"2s2.2p2.(3P).4f D"	"2[2]*"	"5/2"		""	"L10621"
C	1	"446.7729"	"0.0010"	"14000*"	""		"7.945771557"	"10.72087957"	"2s.2p3"	"3D*"	"3"	"2s2.2p.(2P*<3/2>).5f"	"2[7/2]"	"4"		""	"L17684"
C	1	"446.7729"	"0.0010"	"14000*"	""		"7.945771557"	"10.7208571"	"2s.2p3"	"3D*"	"3"	"2s2.2p.(2P*<3/2>).5f"	"2[7/2]"	"3"		""	"L17684"
C	1	"446.8563"	"0.0005"	"3900"	""		"7.94627046"	"10.7208571"	"2s.2p3"	"3D*"	"2"	"2s2.2p.(2P*<3/2>).5f"	"2[7/2]"	"3"		""	"L17684"
O	2	"446.8729"	"0.0010"	"13"	"9.00e+07"	C+	"28.591928"	"31.366419"	"2s2.2p2.(1S).3s"	"2S"	"1/2"	"2s2.2p2.(1S).3p"	"2P*"	"1/2"		"T5723LS"	"L10621"
O	2	"446.9175"	"0.0010"	"15"	""		"30.425722+x"	"33.199928+x"	"2s.2p3.(5S*).3s"	"6S*"	"5/2"	"2s.2p3.(5S*).3p"	"6P"	"5/2"		""	"L10621"
O	2	"447.0627"	"0.0010"	"17"	""		"30.425722+x"	"33.199026+x"	"2s.2p3.(5S*).3s"	"6S*"	"5/2"	"2s.2p3.(5S*).3p"	"6P"	"3/2"		""	"L10621"
