Time (s),Pressure (Torr),Laser output power (W),Laser peak power (W)
26.823375463485718,0.0,0.0,0.0
26.866877794265747,0.0,0.0,0.0
26.8998601436615,0.0,0.0,0.0
26.93033456802368,0.0,0.0,0.0
26.96204447746277,0.0,0.0,0.0
26.9936945438385,0.0,0.0,0.0
27.02379083633423,0.0,0.0,0.0
27.055342435836792,0.0,0.0,0.0
27.084941148757935,0.0,0.0,0.0
27.115886211395264,0.0,0.0,0.0
27.14668917655945,0.0,0.0,0.0
27.17855191230774,0.0,0.0,0.0
27.20868182182312,0.0,0.0,0.0
27.23978090286255,0.0,0.0,0.0
27.270715475082397,0.0,0.0,0.0
27.299856901168823,0.0,0.0,0.0
27.33184814453125,0.0,0.0,0.0
27.36243748664856,0.0,0.0,0.0
27.392513751983643,0.0,0.0,0.0
27.423020124435425,0.0,0.0,0.0
27.452955722808838,0.0,0.0,0.0
27.481717109680176,0.0,0.0,0.0
27.51266646385193,0.0,0.0,0.0
27.54500722885132,0.0,0.0,0.0
27.575289011001587,0.0,0.0,0.0
27.605992555618286,0.0,0.0,0.0
27.63547420501709,0.0,0.0,0.0
27.674026250839233,0.0,0.0,0.0
27.715073347091675,0.0,0.0,0.0
27.74412751197815,0.0,0.0,0.0
27.776313304901123,0.0,0.0,0.0
27.80531668663025,0.0,0.0,0.0
27.835824251174927,0.0,0.0,0.0
27.893892526626587,0.0,0.0,0.0
27.929433822631836,0.0,0.0,0.0
27.959838390350342,0.0,0.0,0.0
27.99005150794983,0.0,0.0,0.0
28.023042678833008,0.0,0.0,0.0
28.053504467010498,0.0,0.0,0.0
28.09687042236328,0.0,0.0,0.0
28.12997555732727,0.0,0.0,0.0
28.159594774246216,0.0,0.0,0.0
28.19088315963745,0.0,0.0,0.0
28.233667135238647,0.0,0.0,0.0
28.266667127609253,0.0,0.0,0.0
28.296703577041626,0.0,0.0,0.0
28.32685089111328,0.0,0.0,0.0
28.356852054595947,0.0,0.0,0.0
28.386794805526733,0.0,0.0,0.0
28.41771149635315,0.0,0.0,0.0
28.44986581802368,0.0,0.0,0.0
28.482868909835815,0.0,0.0,0.0
28.510883331298828,0.0,0.0,0.0
28.541962146759033,0.0,0.0,0.0
28.5731463432312,0.0,0.0,0.0
28.602704763412476,0.0,0.0,0.0
28.633314609527588,0.0,0.0,0.0
28.665059328079224,0.0,0.0,0.0
28.699851989746094,0.0,0.0,0.0
28.724446535110474,0.0,0.0,0.0
28.755396604537964,0.0,0.0,0.0
28.787121057510376,0.0,0.0,0.0
28.817946672439575,0.0,0.0,0.0
28.848647832870483,0.0,0.0,0.0
28.87894582748413,0.0,0.0,0.0
28.935577869415283,0.0,0.0,0.0
28.982577800750732,0.0,0.0,0.0
29.015196561813354,0.0,0.0,0.0
29.046666145324707,0.0,0.0,0.0
29.077818870544434,0.0,0.0,0.0
29.110910177230835,0.0,0.0,0.0
29.140646934509277,0.0,0.0,0.0
29.172359228134155,0.0,0.0,0.0
29.22914171218872,0.0,0.0,0.0
29.263230800628662,0.0,0.0,0.0
29.29901385307312,0.0,0.0,0.0
29.326609134674072,0.0,0.0,0.0
29.35752511024475,0.0,0.0,0.0
29.390233993530273,0.0,0.0,0.0
29.418911457061768,0.0,0.0,0.0
29.448471784591675,0.0,0.0,0.0
29.47918152809143,0.0,0.0,0.0
29.509714126586914,0.0,0.0,0.0
29.54049277305603,0.0,0.0,0.0
29.572315216064453,0.0,0.0,0.0
29.604105234146118,0.0,0.0,0.0
29.633544921875,0.0,0.0,0.0
29.66495633125305,0.0,0.0,0.0
29.696882009506226,0.0,0.0,0.0
29.731006383895874,0.0,0.0,0.0
29.75636100769043,0.0,0.0,0.0
29.788170337677002,0.0,0.0,0.0
29.818780422210693,0.0,0.0,0.0
29.848780393600464,0.0,0.0,0.0
29.878779888153076,0.0,0.0,0.0
29.911368370056152,0.0,0.0,0.0
29.940555810928345,0.0,0.0,0.0
29.971574783325195,0.0,0.0,0.0
30.003046989440918,0.0,0.0,0.0
30.034602403640747,0.0,0.0,0.0
30.065974950790405,0.0,0.0,0.0
30.096283435821533,0.0,0.0,0.0
30.129345893859863,0.0,0.0,0.0
30.15788221359253,0.0,0.0,0.0
30.189780712127686,0.0,0.0,0.0
30.21966242790222,0.0,0.0,0.0
30.25334334373474,0.0,0.0,0.0
30.283689975738525,0.0,0.0,0.0
30.319993257522583,0.0,0.0,0.0
30.35966205596924,0.0,0.0,0.0
30.392082691192627,0.0,0.0,0.0
30.422342538833618,0.0,0.0,0.0
30.452996730804443,0.0,0.0,0.0
30.48407793045044,0.0,0.0,0.0
30.513365030288696,0.0,0.0,0.0
30.542001247406006,0.0,0.0,0.0
30.57420802116394,0.0,0.0,0.0
30.603625535964966,0.0,0.0,0.0
30.634705543518066,0.0,0.0,0.0
30.66598629951477,0.0,0.0,0.0
30.69721555709839,0.0,0.0,0.0
30.731721878051758,0.0,0.0,0.0
30.770010948181152,0.0,0.0,0.0
30.8031804561615,0.0,0.0,0.0
30.8340744972229,0.0,0.0,0.0
30.861138105392456,0.0,0.0,0.0
30.90517497062683,0.0,0.0,0.0
30.95274782180786,0.0,0.0,0.0
30.985750436782837,0.0,0.0,0.0
31.01747179031372,0.0,0.0,0.0
31.047178030014038,0.0,0.0,0.0
31.077919483184814,0.0,0.0,0.0
31.10930633544922,0.0,0.0,0.0
31.139150619506836,0.0,0.0,0.0
31.171196460723877,0.0,0.0,0.0
31.202690839767456,0.0,0.0,0.0
31.23303246498108,0.0,0.0,0.0
31.291016578674316,0.0,0.0,0.0
31.337526321411133,0.0,0.0,0.0
31.369526624679565,0.0,0.0,0.0
31.400604724884033,0.0,0.0,0.0
31.430699110031128,0.0,0.0,0.0
31.46186590194702,0.0,0.0,0.0
31.49203872680664,0.0,0.0,0.0
31.522729873657227,0.0,0.0,0.0
31.55416989326477,0.0,0.0,0.0
31.585618257522583,0.0,0.0,0.0
31.617440462112427,0.0,0.0,0.0
31.64847731590271,0.0,0.0,0.0
31.67804503440857,0.0,0.0,0.0
31.7086398601532,0.0,0.0,0.0
31.751546144485474,0.0,0.0,0.0
31.78507971763611,0.0,0.0,0.0
31.815756797790527,0.0,0.0,0.0
31.849055290222168,0.0,0.0,0.0
31.88005781173706,0.0,0.0,0.0
31.912129163742065,0.0,0.0,0.0
31.945740938186646,0.0,0.0,0.0
31.986979722976685,0.0,0.0,0.0
32.01808142662048,0.0,0.0,0.0
32.04904389381409,0.0,0.0,0.0
32.08021330833435,0.0,0.0,0.0
32.110074520111084,0.0,0.0,0.0
32.14906978607178,0.0,0.0,0.0
32.18707633018494,0.0,0.0,0.0
32.21670436859131,0.0,0.0,0.0
32.24827241897583,0.0,0.0,0.0
32.27908110618591,0.0,0.0,0.0
32.30913162231445,0.0,0.0,0.0
32.34427833557129,0.0,0.0,0.0
32.36972117424011,0.0,0.0,0.0
32.39955687522888,0.0,0.0,0.0
32.42910313606262,0.0,0.0,0.0
32.459099769592285,0.0,0.0,0.0
32.491170167922974,0.0,0.0,0.0
32.52124357223511,0.0,0.0,0.0
32.55624461174011,0.0,0.0,0.0
32.58324432373047,0.0,0.0,0.0
32.61225080490112,0.0,0.0,0.0
32.6440007686615,0.0,0.0,0.0
32.67471385002136,0.0,0.0,0.0
32.705974102020264,0.0,0.0,0.0
32.73509740829468,0.0,0.0,0.0
32.7701575756073,0.0,0.0,0.0
32.79790902137756,0.0,0.0,0.0
32.828023195266724,0.0,0.0,0.0
32.860207080841064,0.0,0.0,0.0
32.89179706573486,0.0,0.0,0.0
32.92451786994934,0.0,0.0,0.0
32.956493616104126,0.0,0.0,0.0
32.98514223098755,0.0,0.0,0.0
33.01549315452576,0.0,0.0,0.0
33.047157764434814,0.0,0.0,0.0
33.078407287597656,0.0,0.0,0.0
33.10914659500122,0.0,0.0,0.0
33.139938831329346,0.0,0.0,0.0
33.170276165008545,0.0,0.0,0.0
33.201555490493774,0.0,0.0,0.0
33.23372006416321,0.0,0.0,0.0
