Wavelength (nm),Transmission (%)
912,0.9103937149
911,0.9085941911
910,0.9015280008
909,0.9118186235
908,0.9099405408
907,0.9106619954
906,0.9064303637
905,0.9071599841
904,0.9027611613
903,0.9063609838
902,0.9185217619
901,0.9056536555
900,0.9126691818
899,0.9048991203
898,0.9098802805
897,0.899151504
896,0.9005070925
895,0.9129760861
894,0.9097016454
893,0.9021194577
892,0.9200499654
891,0.9072012901
890,0.9145525098
889,0.9035810828
888,0.911495924
887,0.9073004127
886,0.9106137753
885,0.9066661596
884,0.9092901945
883,0.9130474329
882,0.9128506184
881,0.9066153169
880,0.9092862606
879,0.9059225321
878,0.9044290781
877,0.9103827477
876,0.903883934
875,0.9118328094
874,0.9088872671
873,0.9074277282
872,0.9087537527
871,0.9110344648
870,0.9112449288
869,0.905140698
868,0.9108170867
867,0.9103412032
866,0.9080985785
865,0.904683888
864,0.9095247984
863,0.9060043693
862,0.907402575
861,0.9090673327
860,0.9106177688
859,0.9126861691
858,0.9101258516
857,0.9168663025
856,0.9129254818
855,0.912827909
854,0.9099510312
853,0.9134346843
852,0.9141998291
851,0.9135443568
850,0.9109560251
849,0.9146170616
848,0.9129012227
847,0.9131963253
846,0.9112752676
845,0.9113356471
844,0.9123822451
843,0.9152385592
842,0.9144797921
841,0.9136350155
840,0.9123513699
839,0.9121714234
838,0.9154281616
837,0.9128601551
836,0.9134363532
835,0.9169092178
834,0.9137766361
833,0.914699018
832,0.9154174328
831,0.914483428
830,0.9157742262
829,0.9145528078
828,0.9146001935
827,0.9178571701
826,0.9136954546
825,0.9153624177
824,0.9148045182
823,0.9137923121
822,0.9219532609
821,0.9188534021
820,0.9113869667
819,0.9183790684
818,0.9190075994
817,0.9185241461
816,0.914503336
815,0.9174882174
814,0.9179632068
813,0.9164438844
812,0.9190748334
811,0.9171623588
810,0.9191184044
809,0.9164353609
808,0.9184212685
807,0.9201726913
806,0.9217477441
805,0.9135201573
804,0.9195452332
803,0.9232881665
802,0.9211594462
801,0.9234164953
800,0.9181065559
799,0.9198977351
798,0.9208095074
797,0.9170271158
796,0.9225363135
795,0.9253652096
794,0.9193453789
793,0.9234852195
792,0.9236136675
791,0.9232158661
790,0.9251599908
789,0.9247435331
788,0.923476994
787,0.923238337
786,0.922581017
785,0.9225055575
784,0.9229295254
783,0.9253063202
782,0.9252126217
781,0.9234233499
