#Procedure: <__main__.ExtrusionProcedure>
#Parameters:
#	Bake Time: 60 min
#	Baking Position: 18 in
#	DC Voltage: 0
#	Voltage Mode: PID
#	Sample Length: 5 cm
#	Sample Name: R4N32_CYREZ
#	Ramping rate: 25 C/min
#	Temperature setpoint: 800 C
#	Stabilization Time: 5 min
#Data:
Time (s),Baking Pressure (Torr),Outgassing Pressure (Torr),Baking Temperature (C),Outgassing Temperature (C),Position (in),DC Voltage (V),Is Baking?
6005.355429887772,0.042,0.028999999999999998,800.5,210.5,8.721811023622045,32.605325380651216,0.0
6006.525417327881,0.042,0.028999999999999998,799.75,210.75,8.669685039370078,69.63936323296647,0.0
6007.728084564209,0.042,0.028999999999999998,799.5,210.75,8.604527559055118,181.61709658215983,0.0
6008.779901742935,0.042,0.028999999999999998,800.0,210.75,8.61755905511811,21.85439893578001,0.0
6009.801893234253,0.042,0.028999999999999998,800.25,210.75,8.643622047244094,55.23984004932087,0.0
6011.2377960681915,0.042,0.028999999999999998,800.5,210.75,8.643622047244094,66.72217566481902,0.0
6012.261346578598,0.042,0.028999999999999998,800.0,211.0,8.61755905511811,117.47444094151449,0.0
6013.900498628616,0.042,0.028999999999999998,800.5,210.75,8.565433070866142,38.10726278703077,0.0
6015.331872463226,0.042,0.028999999999999998,800.0,211.0,8.656653543307085,92.76755872232661,0.0
6016.56125831604,0.042,0.028999999999999998,799.25,211.75,8.565433070866142,200.0,0.0
6017.913586854935,0.042,0.028999999999999998,799.25,211.0,8.591496062992125,95.15224697023963,0.0
6018.934685468674,0.042,0.028999999999999998,799.25,211.0,8.461181102362204,117.07324760129616,0.0
6020.0424818992615,0.042,0.028999999999999998,799.75,210.75,8.578464566929133,69.1463461541793,0.0
6021.068858861923,0.042,0.028999999999999998,799.5,211.0,8.591496062992125,68.63721610175894,0.0
6022.664700508118,0.042,0.028999999999999998,799.0,210.75,8.68271653543307,52.6391378658458,0.0
6023.68709397316,0.042,0.028999999999999998,799.25,211.25,8.6305905511811,51.85629079806252,0.0
6024.705131530762,0.042,0.028999999999999998,799.0,211.5,8.61755905511811,200.0,0.0
6025.778040885925,0.042,0.028999999999999998,799.25,211.75,8.695748031496061,95.72692418596391,0.0
6026.802516222,0.042,0.028999999999999998,799.75,212.0,8.604527559055118,0,0.0
6028.105020999908,0.042,0.028999999999999998,799.75,212.0,8.604527559055118,94.34867831817513,0.0
6029.119472026825,0.042,0.028999999999999998,799.5,212.5,8.6305905511811,75.1638969572816,0.0
6030.284174919128,0.042,0.028999999999999998,799.75,212.75,8.604527559055118,119.06104038947218,0.0
6031.495070695877,0.042,0.028999999999999998,800.5,212.75,8.656653543307085,0,0.0
6032.5154683589935,0.042,0.028999999999999998,800.0,212.75,8.669685039370078,164.73730897741467,0.0
6033.560369253159,0.042,0.028999999999999998,800.0,211.25,8.643622047244094,129.26248685181713,0.0
6034.889135837555,0.042,0.028999999999999998,799.75,211.5,8.591496062992125,200.0,0.0
6035.91414141655,0.042,0.028999999999999998,800.0,210.75,8.656653543307085,72.78047195480721,0.0
6037.040432929993,0.042,0.028999999999999998,800.0,210.75,8.643622047244094,120.32431461988881,0.0
6038.628988265991,0.042,0.028999999999999998,800.25,212.25,8.604527559055118,159.03094645423738,0.0
6039.703843593597,0.042,0.028999999999999998,800.75,213.0,8.61755905511811,40.749215045715744,0.0
6040.728296518326,0.042,0.028999999999999998,800.5,212.75,8.578464566929133,91.95560072210284,0.0
6042.021954774857,0.042,0.028999999999999998,800.5,211.0,8.591496062992125,43.975447505885036,0.0
6043.042099714279,0.042,0.028999999999999998,800.5,211.5,8.6305905511811,111.4188769856797,0.0
6044.2100920677185,0.042,0.028999999999999998,799.75,212.0,8.604527559055118,94.11088624640547,0.0
6045.438504695892,0.042,0.028999999999999998,800.0,212.5,8.656653543307085,47.64815682584092,0.0
6046.463038682938,0.042,0.028999999999999998,800.0,213.0,8.656653543307085,56.45310703878621,0.0
6047.487119674683,0.042,0.028999999999999998,799.5,211.5,8.578464566929133,200.0,0.0
6048.9198615550995,0.042,0.028999999999999998,799.5,210.75,8.61755905511811,118.99196241899637,0.0
6049.943931341171,0.042,0.028999999999999998,799.0,211.5,8.643622047244094,96.59015619860321,0.0
