time (s),T1 (C),T2 (C),T3 (C),T4 (C),T5 (C)
18.2,38.25,40.5,41.0,42.5,45.25
18.25,38.25,40.5,41.0,42.5,45.25
18.3,38.25,40.5,41.0,42.5,45.25
18.35,38.25,40.5,41.0,42.25,45.25
18.400000000000002,38.25,40.75,41.0,42.5,45.25
18.45,38.25,40.75,41.0,42.5,45.25
18.5,38.25,40.75,41.0,42.5,45.25
18.55,38.25,40.5,41.0,42.5,45.0
18.6,38.25,40.5,41.0,42.5,45.0
18.650000000000002,38.25,40.74999999999982,41.0,42.5,45.0
18.7,38.25,40.5,41.0,42.5,45.0
18.75,38.25,40.5,41.0,42.5,45.0
18.8,38.25,40.75,41.0,42.5,45.0
18.85,38.25,40.5,41.0,42.5,45.0
18.900000000000002,38.25,40.50000000000018,41.0,42.5,45.0
18.95,38.25,40.75,41.0,42.5,45.0
19.0,38.25,40.5,41.0,42.5,45.0
19.05,38.25,40.5,41.0,42.5,45.0
19.1,38.25,40.75,41.0,42.5,45.0
19.150000000000002,38.25,40.75,41.0,42.5,45.0
19.200000000000003,38.25,40.75,41.0,42.49999999999982,45.0
19.25,38.25,40.75,41.0,42.25,45.0
19.3,38.25,40.5,41.0,42.25,45.0
19.35,38.25,40.5,41.0,42.25,45.0
19.400000000000002,38.25,40.75,41.0,42.25,45.0
19.450000000000003,38.25,40.75,41.0,42.25,45.0
19.5,38.25,40.75,41.0,42.25,45.0
19.55,38.25,40.75,41.0,42.5,45.0
19.6,38.25,40.75,41.0,42.25,45.0
19.650000000000002,38.25,40.74999999999982,41.0,42.25,45.0
19.700000000000003,38.25,40.5,41.0,42.25,45.0
19.75,38.25,40.5,41.0,42.25,45.0
19.8,38.25,40.5,41.0,42.25,45.0
19.85,38.25,40.75,41.0,42.25,45.0
19.900000000000002,38.25,40.5,41.0,42.25,45.0
19.950000000000003,38.25,40.5,41.0,42.25,45.0
20.0,38.25,40.5,41.0,42.25,45.0
20.05,38.25,40.75,41.0,42.25,45.0
20.1,38.25,40.75,41.0,42.25,45.0
20.150000000000002,38.25,40.75,41.0,42.25,45.0
20.200000000000003,38.25,40.75,41.0,42.25,45.0
20.25,38.25,40.75,41.0,42.25,45.0
20.3,38.25,40.75,41.0,42.25,45.0
20.35,38.25,40.75,41.0,42.25,45.0
20.400000000000002,38.25,40.75,41.0,42.25,45.0
20.450000000000003,38.25,40.75,41.0,42.25,45.0
20.5,38.25,40.75,41.0,42.25,45.0
20.55,38.25,40.75,41.0,42.25,45.0
20.6,38.25,40.75,41.0,42.25,45.0
20.650000000000002,38.25,40.75,41.0,42.25,45.0
20.700000000000003,38.25,40.75,41.0,42.25,45.0
20.75,38.25,40.75,41.0,42.25,45.0
20.8,38.0,40.75,41.0,42.0,45.0
20.85,38.25,40.75,41.0,42.0,45.0
20.900000000000002,38.25,40.75,41.0,42.0,45.0
20.950000000000003,38.25,40.75,41.0,42.0,45.0
21.0,38.25,40.75,41.0,42.0,45.0
21.05,38.25,40.75,41.0,42.0,45.0
21.1,38.0,40.75,41.0,42.0,45.0
21.150000000000002,38.0,40.75,41.0,42.0,45.0
21.200000000000003,38.0,40.75,41.0,42.0,45.0
21.25,38.25,40.75,41.0,42.0,45.0
21.3,38.25,40.75,41.0,42.0,45.0
21.35,38.25,40.75,41.0,42.0,45.0
21.400000000000002,38.0,40.75,41.0,42.0,45.0
21.450000000000003,38.0,40.75,41.0,42.0,45.0
21.5,38.0,40.75,41.0,42.0,45.0
21.55,38.0,40.75,41.0,42.0,45.0
21.6,38.0,40.75,41.0,42.0,45.0
21.650000000000002,38.0,40.75,41.0,42.0,45.0
21.700000000000003,38.0,40.75,41.0,42.0,45.0
21.75,38.0,40.75,41.0,42.0,45.0
21.8,38.0,40.75,41.0,42.0,45.0
21.85,38.25,40.75,41.0,41.75,45.0
21.900000000000002,38.25,40.75,41.0,42.0,45.0
21.950000000000003,38.25,40.75,41.0,41.99999999999982,45.0
22.0,38.25,40.75,41.0,41.75,45.0
22.05,38.25,40.75,41.0,41.75,45.0
22.1,38.25,40.75,41.0,41.75,45.0
22.150000000000002,38.0,40.75,41.0,41.75,45.0
22.200000000000003,38.0,40.75,41.0,41.75,45.0
22.25,38.0,40.75,41.0,41.75,45.0
22.3,38.0,40.75,41.0,41.75,45.0
22.35,38.0,40.75,41.0,41.75,45.0
22.400000000000002,38.0,40.75,41.0,41.75,45.0
22.450000000000003,38.0,40.75,41.0,41.75,45.0
22.5,38.0,40.75,41.0,41.75,45.0
22.55,38.0,40.75,41.0,41.75,45.0
22.6,38.0,40.75,41.0,41.75,45.0
22.650000000000002,38.0,40.75,41.0,41.75,45.0
22.700000000000003,38.0,40.75,41.0,41.75,45.0
22.75,38.0,40.75,41.0,41.75,45.0
22.8,38.0,40.75,41.0,41.75,45.0
22.85,38.0,40.75,41.0,41.75,45.0
22.900000000000002,38.0,40.75000000000018,41.0,41.75,45.0
22.950000000000003,38.0,41.0,41.0,41.75,45.0
23.0,38.0,41.0,41.0,41.75,45.0
23.05,38.0,40.75,41.0,41.75,45.0
23.1,38.0,40.75,41.0,41.75,45.0
23.150000000000002,38.0,40.75,41.0,41.74999999999982,45.0
23.200000000000003,38.0,40.75,41.0,41.5,45.0
23.25,38.0,40.75,41.0,41.5,45.0
23.3,38.0,40.75,41.0,41.5,45.0
23.35,38.0,40.75,41.0,41.75,45.0
23.400000000000002,38.0,40.75,41.0,41.75,45.0
23.450000000000003,38.0,40.75,41.0,41.75,45.0
23.5,38.0,40.75,41.0,41.75,45.0
23.55,38.0,40.75,41.0,41.75,45.0
23.6,38.0,40.75,41.0,41.75,45.0
23.650000000000002,38.0,40.75,41.0,41.75,45.0
23.700000000000003,38.0,40.75,41.0,41.75,45.0
23.75,38.0,40.75,41.0,41.75,45.0
23.8,38.0,40.75,41.0,41.5,44.75
23.85,38.0,40.75,41.0,41.5,44.75
23.900000000000002,38.0,41.0,41.0,41.5,44.75000000000018
23.950000000000003,38.0,40.99999999999982,41.0,41.5,45.0
24.0,38.0,40.75,41.0,41.5,45.0
24.05,38.0,40.75,41.0,41.5,45.0
24.1,38.0,40.75,41.0,41.5,45.0
24.150000000000002,38.0,41.0,41.0,41.5,45.0
24.200000000000003,38.0,41.0,41.0,41.5,45.0
24.25,38.0,40.75,41.0,41.5,45.0
24.3,38.0,40.5,41.0,41.5,45.0
24.35,38.0,40.75,41.0,41.5,45.0
24.400000000000002,38.0,40.75000000000018,41.0,41.5,45.0
24.450000000000003,38.0,41.0,41.0,41.5,44.99999999999982
