#Procedure: <__main__.ExtruderPIDProcedure>
#Parameters:
#	Experiment Time: 10 min
#	Kd: 0
#	Ki: 0
#	Kp: 2000
#	Temperature Setpoint: 100 C
#Data:
Time (min),Temperature (C),Voltage (V),PID Control (V)
4.773308841387431,483.5,0.0,0
4.783116606871287,483.25,0.0,0
4.795528757572174,482.75,0.0,0
4.801631681124369,482.5,0.0,0
4.8128058036168415,482.25,0.0,0
4.818474153677623,481.75,0.0,0
4.829846652348836,481.5,0.0,0
4.83835829893748,481.25,0.0,0
4.843786239624023,481.0,0.0,0
4.855164647102356,480.5,0.0,0
4.860883923371633,480.25,0.0,0
4.874103903770447,480.0,0.0,0
4.87899508078893,479.75,0.0,0
4.889041463534038,479.5,0.0,0
4.898843781153361,479.25,0.0,0
4.904462003707886,478.75,0.0,0
4.916017385323842,478.5,0.0,0
4.921441479523977,478.25,0.0,0
4.932845938205719,478.0,0.0,0
4.938239769140879,477.75,0.0,0
4.94967344601949,477.5,0.0,0
4.95617223183314,477.25,0.0,0
4.968365216255188,477.0,0.0,0
4.973698449134827,476.75,0.0,0
4.985010039806366,476.25,0.0,0
4.99046243429184,476.0,0.0,0
5.001890901724497,475.75,0.0,0
5.007501610120138,475.25,0.0,0
5.018635968367259,475.0,0.0,0
5.024302506446839,474.75,0.0,0
5.035695000489553,474.5,0.0,0
5.044763751824697,474.25,0.0,0
5.050073126951854,474.0,0.0,0
5.059665056069692,473.75,0.0,0
5.0695663293202715,473.5,0.0,0
5.075217223167419,473.25,0.0,0
5.089130075772603,473.0,0.0,0
5.096117095152537,472.75,0.0,0
5.103411356608073,472.5,0.0,0
5.116576087474823,472.0,0.0,0
5.1217563390731815,471.75,0.0,0
5.1316000858942665,471.5,0.0,0
5.1415648857752485,471.25,0.0,0
5.147110792001088,471.0,0.0,0
5.160823273658752,470.75,0.0,0
5.166810735066732,470.5,0.0,0
5.175398719310761,470.0,0.0,0
5.185140617688497,469.75,0.0,0
5.195005790392558,469.5,0.0,0
5.205147993564606,469.25,0.0,0
5.211158863703409,469.0,0.0,0
5.220433123906454,468.75,0.0,0
5.232470540205638,468.5,0.0,0
5.239428714911143,468.25,0.0,0
5.2496974984804785,467.75,0.0,0
5.256625699996948,467.5,0.0,0
5.264168918132782,467.5,0.0,0
5.276751053333283,467.0,0.0,0
5.283771002292633,466.75,0.0,0
5.290996857484182,466.5,0.0,0
5.30431987841924,466.25,0.0,0
5.314298852284749,466.0,0.0,0
5.321337036291758,465.75,0.0,0
5.331535402933756,465.25,0.0,0
5.3417925079663595,465.25,0.0,0
5.3519084850947065,464.75,0.0,0
5.357310636838277,464.25,0.0,0
5.367107617855072,464.0,0.0,0
5.379216174284617,464.0,0.0,0
5.386130952835083,463.5,0.0,0
5.393869423866272,463.25,0.0,0
5.406577261288961,463.0,0.0,0
5.41227083603541,462.5,0.0,0
5.421055710315704,462.5,0.0,0
5.432105922698975,462.25,0.0,0
5.437806673844656,462.0,0.0,0
5.448920786380768,461.75,0.0,0
5.454562771320343,461.5,0.0,0
5.465977032979329,461.25,0.0,0
5.471568624178569,460.75,0.0,0
5.484985494613648,460.75,0.0,0
5.491943299770355,460.25,0.0,0
5.499703021844228,460.0,0.0,0
5.512881831328074,459.75,0.0,0
5.5195268829663595,459.5,0.0,0
5.526519151528676,459.25,0.0,0
5.539754104614258,459.0,0.0,0
5.548024646441141,458.5,0.0,0
5.554966652393341,458.25,0.0,0
5.56475207010905,458.0,0.0,0
5.571703072388967,458.0,0.0,0
5.581501817703247,457.75,0.0,0
5.58720711072286,nan,0.0,nan
5.601616525650025,457.0,0.0,nan
5.611751008033752,456.75,0.0,nan
5.619835857550303,456.5,0.0,nan
5.628397444883983,456.25,0.0,nan
5.633754018942515,456.0,0.0,nan
5.643506495157878,455.75,0.0,nan
5.653808816274007,455.5,0.0,nan
5.660577885309855,455.0,0.0,nan
5.670373829205831,455.0,0.0,nan
5.675957838694255,454.75,0.0,nan
5.6873152494430546,454.5,0.0,nan
5.69297509988149,454.25,0.0,nan
5.704281028111776,454.0,0.0,nan
5.70991667509079,453.75,0.0,nan
5.721272718906403,453.5,0.0,nan
5.727496794859568,453.25,0.0,nan
5.735293833414714,453.0,0.0,nan
5.745492227872213,452.75,0.0,nan
5.754755433400472,452.5,0.0,nan
5.7606423457463585,452.25,0.0,nan
5.769089643160502,452.0,0.0,nan
5.782041831811269,451.75,0.0,nan
5.788936142126719,451.5,0.0,nan
5.797417668501536,451.25,0.0,nan
5.809539318084717,451.0,0.0,nan
5.819623374938965,450.75,0.0,nan
5.827055430412292,450.25,0.0,nan
5.834017479419709,450.25,0.0,nan
5.843868911266327,449.75,0.0,nan
5.853662526607513,449.75,0.0,nan
5.859325242042542,449.25,0.0,nan
5.868292339642843,449.25,0.0,nan
5.879200756549835,449.0,0.0,nan
5.887961359818776,448.75,0.0,nan
5.896452136834463,448.5,0.0,nan
5.903124654293061,448.25,0.0,nan
5.91523992617925,448.0,0.0,nan
5.922950335343679,447.75,0.0,nan
5.929875902334849,447.5,0.0,nan
5.942564849058787,447.0,0.0,nan
5.949995640913645,446.75,0.0,nan
5.956907482941945,446.75,0.0,nan
5.9665852904319765,446.25,0.0,nan
5.9737623969713844,446.25,0.0,nan
5.9867121775945025,446.0,0.0,nan
5.996949128309885,445.5,0.0,nan
6.002022437254587,445.25,0.0,nan
6.011738832791647,445.25,0.0,nan
6.0215641260147095,444.75,0.0,nan
6.027206099033355,444.75,0.0,nan
6.038584597905477,444.5,0.0,nan
6.0442491253217066,444.25,0.0,nan
6.055676126480103,443.75,0.0,nan
6.061024371782938,443.75,0.0,nan
6.069707747300466,443.5,0.0,nan
6.079626508553823,443.25,0.0,nan
6.086746275424957,443.0,0.0,nan
6.096532507737478,442.75,0.0,nan
6.103572094440461,442.5,0.0,nan
6.1164253870646155,442.25,0.0,nan
6.121861938635508,442.0,0.0,nan
6.131733413537344,441.75,0.0,nan
6.138639275232951,441.5,0.0,nan
6.150591727097829,441.25,0.0,nan
6.155724898974101,441.0,0.0,nan
6.16551673412323,441.0,0.0,nan
6.175315503279368,440.5,0.0,nan
6.180962649981181,440.25,0.0,nan
6.192576169967651,440.25,0.0,nan
6.199347921212515,439.75,0.0,nan
6.212045697371165,439.75,0.0,nan
6.217622776826222,439.5,0.0,nan
6.226154482364654,439.25,0.0,nan
6.237456480662028,439.0,0.0,nan
6.243107004960378,438.75,0.0,nan
6.254399522145589,438.5,0.0,nan
6.260048127174377,438.25,0.0,nan
6.273423965771993,438.0,0.0,nan
6.278411444028219,437.75,0.0,nan
6.288170270125071,437.5,0.0,nan
6.300739129384358,437.25,0.0,nan
6.306502755482992,437.0,0.0,nan
6.314987921714783,436.75,0.0,nan
6.328046834468841,436.5,0.0,nan
6.336174714565277,436.25,0.0,nan
6.341822544733684,436.25,0.0,nan
6.353168586889903,435.75,0.0,nan
6.358942488829295,435.5,0.0,nan
6.37244522968928,435.5,0.0,nan
6.37928808927536,435.0,0.0,nan
6.389554488658905,434.75,0.0,nan
6.396848766009013,434.75,0.0,nan
6.403818015257517,434.5,0.0,nan
6.41678052743276,434.0,0.0,nan
6.422280363241831,434.0,0.0,nan
6.432177901268005,433.75,0.0,nan
6.442011423905691,433.5,0.0,nan
6.450938157240549,433.25,0.0,nan
6.458840986092885,433.0,0.0,nan
6.464511696497599,432.75,0.0,nan
6.478238825003306,432.5,0.0,nan
6.485640827814738,432.25,0.0,nan
6.493011387189229,432.25,0.0,nan
6.501579876740774,432.0,0.0,nan
6.509839316209157,431.75,0.0,nan
6.519473123550415,431.5,0.0,nan
6.525109322865804,431.5,0.0,nan
6.537833758195242,431.0,0.0,nan
6.543492956956228,431.0,0.0,nan
6.554754610856374,430.5,0.0,nan
6.560428591569265,430.5,0.0,nan
6.572027540206909,430.25,0.0,nan
6.580788266658783,430.0,0.0,nan
6.590877385934194,429.75,0.0,nan
6.597831265131632,429.5,0.0,nan
6.605590140819549,429.25,0.0,nan
6.618290332953135,429.0,0.0,nan
6.623902444044749,428.75,0.0,nan
6.635301494598389,428.5,0.0,nan
6.640922673543295,428.25,0.0,nan
6.650784571965535,428.25,0.0,nan
6.660620065530141,427.75,0.0,nan
6.669423898061116,427.75,0.0,nan
6.676355357964834,427.5,0.0,nan
6.684904273351034,427.25,0.0,nan
6.694397648175557,427.0,0.0,nan
6.70035500129064,426.75,0.0,nan
6.710505112012227,426.5,0.0,nan
6.718707307179769,426.25,0.0,nan
6.7282239437103275,426.0,0.0,nan
6.734407305717468,426.0,0.0,nan
6.742340636253357,425.75,0.0,nan
6.754755397637685,425.5,0.0,nan
6.761671165625255,425.25,0.0,nan
6.771950101852417,425.0,0.0,nan
6.782079255580902,424.75,0.0,nan
6.787459027767182,424.5,0.0,nan
6.799101316928864,424.5,0.0,nan
6.804526635011038,424.25,0.0,nan
6.814297417799632,424.0,0.0,nan
6.826438617706299,423.75,0.0,nan
6.832623863220215,423.5,0.0,nan
6.8413195768992106,423.5,0.0,nan
6.8509140332539875,423.25,0.0,nan
6.858046126365662,423.0,0.0,nan
6.870931454499563,422.75,0.0,nan
6.879208370049795,422.5,0.0,nan
6.884943322340647,422.25,0.0,nan
6.896221033732096,422.0,0.0,nan
6.901837941010793,421.75,0.0,nan
6.913160753250122,421.5,0.0,nan
6.922190554936727,421.5,0.0,nan
6.929923061529795,421.25,0.0,nan
6.937254869937897,421.0,0.0,nan
6.946951226393382,420.75,0.0,nan
6.952581290404002,420.5,0.0,nan
6.966548911730448,420.5,0.0002,nan
6.9737981041272485,420.0,0.0,nan
6.980830645561218,419.75,0.0,nan
6.9906326055526735,419.75,0.0,nan
6.998189318180084,419.5,0.0,nan
7.006260081132253,419.25,0.0,nan
7.0175917188326515,419.0,0.0,nan
7.023025417327881,418.75,0.0,nan
7.034925655523936,418.75,0.0,nan
7.040057106812795,418.5,0.0,nan
7.04983373483022,418.25,0.0,nan
7.059656941890717,418.0,0.0,nan
